frame_id,track_id,class_id,x1,y1,x2,y2
0,3,1,477,266,514,350
1,3,1,479,266,507,355
2,3,1,478,264,508,355
3,3,1,477,266,511,355
4,3,1,477,269,507,358
5,3,1,475,270,510,361
6,3,1,475,270,510,363
7,3,1,475,272,508,365
8,3,1,476,271,507,366
9,3,1,477,271,509,366
10,3,1,479,270,509,367
21,3,1,474,290,508,382
22,3,1,471,292,504,383
23,3,1,469,293,501,385
24,3,1,466,294,502,386
25,3,1,463,295,499,387
26,3,1,463,293,501,388
27,3,1,462,294,499,388
28,3,1,460,296,496,388
29,3,1,459,295,494,388
30,3,1,463,294,499,388
31,3,1,465,293,502,385
34,3,1,460,299,494,391
35,3,1,460,301,493,392
36,3,1,459,299,492,393
37,3,1,461,295,496,393
40,3,1,460,305,492,395
41,3,1,459,303,493,395
42,3,1,459,305,492,397
43,3,1,458,304,493,398
44,3,1,457,300,495,397
47,3,1,459,304,494,399
48,3,1,458,305,493,400
49,3,1,460,308,492,401
50,3,1,459,311,490,403
51,3,1,459,313,493,403
52,3,1,458,313,491,404
53,3,1,458,311,490,406
54,3,1,460,311,492,406
55,3,1,460,307,496,410
56,3,1,454,306,498,411
57,3,1,452,312,496,413
59,3,1,450,312,492,416
60,3,1,451,312,489,417
61,3,1,452,313,488,417
62,3,1,452,315,485,418
63,3,1,446,315,484,418
64,3,1,443,310,485,421
64,24,1,451,319,480,421
66,3,1,435,312,482,423
66,24,1,447,323,478,423
67,24,1,442,321,479,424
68,24,1,438,321,474,425
69,24,1,433,323,473,426
70,24,1,432,325,471,428
71,24,1,433,326,470,429
72,24,1,434,333,468,431
73,24,1,431,330,472,433
74,24,1,430,328,474,436
75,24,1,428,329,473,437
76,24,1,431,332,472,440
77,24,1,433,335,471,441
78,24,1,432,339,471,443
79,24,1,431,336,471,445
80,24,1,431,332,474,446
81,24,1,431,334,473,448
82,24,1,431,337,474,451
83,24,1,436,341,479,453
84,24,1,441,345,481,457
85,24,1,442,345,482,459
87,24,1,439,346,483,463
89,24,1,439,360,480,468
90,24,1,439,362,482,470
91,24,1,436,352,479,473
92,24,1,435,354,474,475
93,24,1,433,356,469,477
94,24,1,430,360,467,479
95,24,1,431,364,466,483
95,40,2,691,50,767,86
96,24,1,431,366,468,486
96,40,2,698,49,783,87
97,24,1,433,369,471,489
97,40,2,714,48,802,87
98,24,1,433,373,471,491
98,40,2,733,48,825,87
99,24,1,431,379,469,494
99,40,2,752,50,846,88
99,44,2,889,55,961,88
100,24,1,428,375,469,497
100,40,2,774,52,866,88
100,44,2,886,55,953,89
101,24,1,426,379,467,500
101,40,2,795,53,877,88
101,44,2,876,55,936,90
102,24,1,422,384,466,503
103,24,1,421,391,460,506
103,40,2,833,54,925,94
104,24,1,417,393,460,509
104,40,2,856,56,941,95
105,24,1,410,393,459,513
105,40,2,880,58,953,95
105,50,2,787,49,867,84
106,24,1,406,401,452,517
106,50,2,774,49,849,84
107,24,1,401,397,445,520
107,50,2,765,47,830,84
108,24,1,404,409,444,521
109,24,1,404,410,444,526
109,55,1,410,417,437,526
109,50,2,741,52,814,85
110,24,1,402,412,445,531
110,50,2,749,54,825,86
111,24,1,400,414,447,532
112,24,1,397,410,447,536
112,44,2,781,55,877,88
112,55,1,404,417,440,536
113,24,1,400,408,443,540
113,55,1,406,416,437,539
114,24,1,396,408,444,543
114,55,1,401,418,434,542
115,24,1,393,410,446,545
115,55,1,399,437,437,545
116,24,1,390,423,448,548
116,55,1,397,439,438,548
117,24,1,391,434,448,552
117,55,1,404,441,435,551
118,24,1,394,437,448,554
118,55,1,404,444,440,554
119,24,1,396,441,449,558
119,55,1,405,447,440,558
120,24,1,393,438,451,560
120,55,1,404,453,439,561
121,55,1,400,454,438,563
122,55,1,403,455,438,566
122,24,1,396,447,447,566
123,55,1,404,464,440,569
123,24,1,399,453,448,569
124,24,1,406,449,449,572
125,24,1,402,450,448,575
125,55,1,409,460,444,575
126,24,1,405,452,450,579
126,55,1,410,459,443,579
127,24,1,403,455,446,581
127,55,1,408,464,441,581
128,24,1,399,454,450,584
128,55,1,405,464,442,584
129,55,1,402,467,441,587
129,44,2,659,53,747,85
130,24,1,394,463,446,591
131,24,1,390,464,445,594
132,24,1,390,470,445,595
133,24,1,382,471,439,599
134,24,1,381,480,428,604
135,24,1,382,485,424,607
136,24,1,381,485,424,609
137,24,1,378,488,424,614
138,24,1,376,489,423,617
139,24,1,378,492,425,619
140,24,1,376,493,423,622
141,24,1,378,505,415,626
142,24,1,381,510,411,628
143,24,1,379,514,412,631
144,24,1,378,509,417,635
145,24,1,383,513,420,640
146,24,1,381,513,421,644
147,24,1,377,511,423,647
148,24,1,371,517,419,651
149,24,1,369,519,419,653
150,24,1,370,526,420,656
151,24,1,370,534,415,660
